home,score,away,year
Espagne 1er groupe D,0 – 0 a. p. (4 - 2) tab, Italie2e groupe C,2008
Allemagne ,3 – 2, Turquie,2008
Russie ,0 – 3, Espagne,2008
 Allemagne,0 – 1, Espagne,2008
Pologne ,1 - 1, Grèce,2012
Russie ,4 - 1, Tchéquie,2012
Grèce ,1 - 2, Tchéquie,2012
Pologne ,1 - 1, Russie,2012
Tchéquie ,1 - 0, Pologne,2012
Grèce ,1 - 0, Russie,2012
Tchéquie ,0 – 1, Portugal,2012
Allemagne ,4 – 2, Grèce,2012
Espagne ,2 – 0, France,2012
Angleterre ,0 – 0 a. p., Italie,2012
Portugal ,0 – 0 a. p., Espagne,2012
Allemagne ,1 – 2, Italie,2012
Espagne ,4 – 0, Italie,2012
France ,2 - 1, Roumanie,2016
Albanie ,0 - 1, Suisse,2016
Roumanie ,1 - 1, Suisse,2016
France ,2 - 0, Albanie,2016
Roumanie ,0 - 1, Albanie,2016
Suisse ,0 - 0, France,2016
Pays de Galles  ,2 - 1, Slovaquie,2016
Angleterre ,1 - 1, Russie,2016
Russie ,1 - 2, Slovaquie,2016
Angleterre ,2 - 1, Pays de Galles,2016
Russie ,0 - 3, Pays de Galles,2016
Slovaquie ,0 - 0, Angleterre,2016
Pologne ,1 - 0, Irlande du Nord,2016
Allemagne ,2 - 0, Ukraine,2016
Ukraine ,0 - 2, Irlande du Nord,2016
Allemagne ,0 - 0, Pologne,2016
Ukraine ,0 - 1, Pologne,2016
Irlande du Nord ,0 - 1, Allemagne,2016
Turquie ,0 - 1, Croatie,2016
Espagne ,1 - 0, Tchéquie,2016
Tchéquie ,2 - 2, Croatie,2016
Espagne ,3 - 0, Turquie,2016
Tchéquie ,0 - 2, Turquie,2016
Croatie ,2 - 1, Espagne,2016
Irlande ,1 - 1, Suède,2016
Belgique ,0 - 2, Italie,2016
Italie ,1 - 0, Suède,2016
Belgique ,3 - 0, Irlande,2016
Italie ,0 - 1, Irlande,2016
Suède ,0 - 1, Belgique,2016
Autriche ,0 - 2, Hongrie,2016
Portugal ,1 - 1, Islande,2016
Islande ,1 - 1, Hongrie,2016
Portugal ,0 - 0, Autriche,2016
